ДАТА,КОД,ПОЗНАЧЕННЯ,ОБЄДНАННЯ,ВАЛЮТА,КУРС
02.03.2024,208,DKK,1,Данська крона,"5,5279"
02.03.2024,840,USD,1,Долар США,"38,0492"
02.03.2024,978,EUR,1,Євро,"41,2035"
02.03.2024,818,EGP,1,Єгипетський фунт,"1,2318"
02.03.2024,392,JPY,10,Єна,"2,5354"
02.03.2024,985,PLN,1,Злотий,"9,5395"
02.03.2024,356,INR,10,Індійська рупія,"4,5887"
02.03.2024,124,CAD,1,Канадський долар,"27,9918"
02.03.2024,484,MXN,1,Мексиканське песо,"2,2265"
02.03.2024,498,MDL,1,Молдовський лей,"2,1394"
02.03.2024,376,ILS,1,Новий ізраїльський шекель,"10,6330"
02.03.2024,554,NZD,1,Новозеландський долар,"23,1301"
02.03.2024,578,NOK,1,Норвезька крона,"3,5841"
02.03.2024,710,ZAR,1,Ренд,"1,9712"
02.03.2024,643,RUB,10,Російський рубль,"4,1843"
02.03.2024,946,RON,1,Румунський лей,"8,2896"
02.03.2024,360,IDR,1000,Рупія,"2,4204"
02.03.2024,702,SGD,1,Сінгапурський долар,"28,2768"
02.03.2024,960,XDR,1,СПЗ (спеціальні права запозичення),"50,5134"
02.03.2024,398,KZT,100,Теньге,"8,4346"
02.03.2024,949,TRY,1,Турецька ліра,"1,2185"
02.03.2024,348,HUF,100,Форинт,"10,4741"
02.03.2024,826,GBP,1,Фунт стерлінгів,"48,1056"
02.03.2024,203,CZK,1,Чеська крона,"1,6247"
02.03.2024,752,SEK,1,Шведська крона,"3,6719"
02.03.2024,756,CHF,1,Швейцарський франк,"43,2083"
02.03.2024,156,CNY,1,Юань Женьміньбі,"5,2885"
03.03.2024,036,AUD,1,Австралійський долар,"24,6901"
03.03.2024,944,AZN,1,Азербайджанський манат,"22,3951"
03.03.2024,933,BYN,1,Білоруський рубль,"13,8300"
03.03.2024,975,BGN,1,Болгарський лев,"21,0694"
03.03.2024,410,KRW,100,Вона,"2,8561"
03.03.2024,344,HKD,1,Гонконгівський долар,"4,8612"
03.03.2024,208,DKK,1,Данська крона,"5,5279"
03.03.2024,840,USD,1,Долар США,"38,0492"
03.03.2024,978,EUR,1,Євро,"41,2035"
03.03.2024,818,EGP,1,Єгипетський фунт,"1,2318"
03.03.2024,392,JPY,10,Єна,"2,5354"
03.03.2024,985,PLN,1,Злотий,"9,5395"
03.03.2024,356,INR,10,Індійська рупія,"4,5887"
03.03.2024,124,CAD,1,Канадський долар,"27,9918"
03.03.2024,484,MXN,1,Мексиканське песо,"2,2265"
03.03.2024,498,MDL,1,Молдовський лей,"2,1394"
03.03.2024,376,ILS,1,Новий ізраїльський шекель,"10,6330"
03.03.2024,554,NZD,1,Новозеландський долар,"23,1301"
03.03.2024,578,NOK,1,Норвезька крона,"3,5841"
03.03.2024,710,ZAR,1,Ренд,"1,9712"
03.03.2024,643,RUB,10,Російський рубль,"4,1843"
03.03.2024,946,RON,1,Румунський лей,"8,2896"
03.03.2024,360,IDR,1000,Рупія,"2,4204"
03.03.2024,702,SGD,1,Сінгапурський долар,"28,2768"
03.03.2024,960,XDR,1,СПЗ (спеціальні права запозичення),"50,5134"
03.03.2024,398,KZT,100,Теньге,"8,4346"
03.03.2024,949,TRY,1,Турецька ліра,"1,2185"
03.03.2024,348,HUF,100,Форинт,"10,4741"
03.03.2024,826,GBP,1,Фунт стерлінгів,"48,1056"
03.03.2024,203,CZK,1,Чеська крона,"1,6247"
03.03.2024,752,SEK,1,Шведська крона,"3,6719"
03.03.2024,756,CHF,1,Швейцарський франк,"43,2083"
03.03.2024,156,CNY,1,Юань Женьміньбі,"5,2885"
04.03.2024,036,AUD,1,Австралійський долар,"24,8062"
04.03.2024,944,AZN,1,Азербайджанський манат,"22,4588"
04.03.2024,933,BYN,1,Білоруський рубль,"13,8694"
04.03.2024,975,BGN,1,Болгарський лев,"21,0990"
04.03.2024,410,KRW,100,Вона,"2,8582"
04.03.2024,344,HKD,1,Гонконгівський долар,"4,8741"
04.03.2024,208,DKK,1,Данська крона,"5,5354"
04.03.2024,840,USD,1,Долар США,"38,1575"
04.03.2024,978,EUR,1,Євро,"41,2635"
04.03.2024,818,EGP,1,Єгипетський фунт,"1,2357"
04.03.2024,392,JPY,10,Єна,"2,5344"
04.03.2024,985,PLN,1,Злотий,"9,5554"
04.03.2024,356,INR,10,Індійська рупія,"4,6022"
04.03.2024,124,CAD,1,Канадський долар,"28,1024"
04.03.2024,484,MXN,1,Мексиканське песо,"2,2411"
04.03.2024,498,MDL,1,Молдовський лей,"2,1473"
04.03.2024,376,ILS,1,Новий ізраїльський шекель,"10,7091"
04.03.2024,554,NZD,1,Новозеландський долар,"23,2303"
04.03.2024,578,NOK,1,Норвезька крона,"3,6077"
04.03.2024,710,ZAR,1,Ренд,"1,9911"
04.03.2024,643,RUB,10,Російський рубль,"4,1874"
04.03.2024,946,RON,1,Румунський лей,"8,3034"
04.03.2024,360,IDR,1000,Рупія,"2,4296"
04.03.2024,702,SGD,1,Сінгапурський долар,"28,3320"
04.03.2024,960,XDR,1,СПЗ (спеціальні права запозичення),"50,6176"
04.03.2024,398,KZT,100,Теньге,"8,4373"
04.03.2024,949,TRY,1,Турецька ліра,"1,2174"
